03-12-2013	270
07-12-2013	210
12-12-2013	240
17-12-2013	270
23-12-2013	270
28-12-2013	255
02-01-2014	270
07-01-2014	270
12-01-2014	225
17-01-2014	270
21-01-2014	240
25-01-2014	255
28-01-2014	240
01-02-2014	255
06-02-2014	270
11-02-2014	270
16-02-2014	255
21-02-2014	255
26-02-2014	225
04-03-2014	270
09-03-2014	240
16-03-2014	270
23-03-2014	300
30-03-2014	300
06-04-2014	285
12-04-2014	225
19-04-2014	270
03-05-2014	300
11-05-2014	180
17-08-2014	240
10-09-2014	240
26-09-2014	225
01-10-2014	135
11-10-2014	255
20-10-2014	255
28-10-2014	255
05-11-2014	255
14-11-2014	270
18-11-2014	240
23-11-2014	210
29-11-2014	304
04-12-2014	272
09-12-2014	272
14-12-2014	255
18-12-2014	300
23-12-2014	255
28-12-2014	315
01-01-2015	240
05-01-2015	285
09-01-2015	240
13-01-2015	240
17-01-2015	255
21-01-2015	255
25-01-2015	255
29-01-2015	285
06-02-2015	255
10-02-2015	270
14-02-2015	225
14-02-2015	225
21-02-2015	240
25-02-2015	285
01-03-2015	255
06-03-2015	255
11-03-2015	255
16-03-2015	240
21-03-2015	210
26-03-2015	270
31-03-2015	240
05-04-2015	270
11-04-2015	240
17-04-2015	270
24-04-2015	240
01-05-2015	255
08-05-2015	285
18-05-2015	240
27-05-2015	240
03-06-2015	240
27-06-2015	255
